batches_per_epoch,epoch,full_train_acc,full_train_loss,fwd_time_in_epoch,learning_rate,len_train_ds,len_val_ds,paramnorm_embedding.weight,paramnorm_mlp.0.bias,paramnorm_mlp.0.weight,paramnorm_mlp.3.bias,paramnorm_mlp.3.weight,paramnorm_mlp.6.bias,paramnorm_mlp.6.weight,paramnorm_mlp.9.bias,paramnorm_mlp.9.weight,step,time_per_epoch,train_accuracy,train_loss,train_perplexity,val_accuracy,val_loss,val_perplexity
,131072,100.0,3.7278240938576346e-08,,,,,0.9939314723014832,0.34396040439605713,0.11202003806829453,0.27017390727996826,0.2810284495353699,0.0963527113199234,0.2425260841846466,0.01530222687870264,0.03782261162996292,655369,,,,,13.985121726989746,15.293926239013672,4385991.5
10.0,131073,,,0.006701231002807617,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,655379,0.0696713924407959,100.0,3.7202212865850015e-08,1.0,,,
10.0,132383,,,0.006535530090332031,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,661929,0.054091453552246094,100.0,5.162865272723138e-05,1.0000516176223755,,,
,133693,100.0,1.7055199350579642e-06,,,,,0.9939314723014832,0.3627607226371765,0.11051372438669205,0.27944669127464294,0.28826427459716797,0.09448230266571045,0.2480425089597702,0.015696806833148003,0.038441337645053864,668471,,,,,15.281615257263184,15.201189041137695,3997537.25
10.0,133707,,,0.0059812068939208984,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,668549,0.046880245208740234,100.0,9.826569566939725e-07,1.0000009536743164,,,
10.0,135045,,,0.006280660629272461,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,675239,0.0506892204284668,100.0,9.019252900088759e-08,1.0000001192092896,,,
,136367,100.0,3.8697400839282636e-08,,,,,0.9939314723014832,0.3756472170352936,0.10931826382875443,0.2820218801498413,0.2959328293800354,0.09342344105243683,0.2507995069026947,0.013768256641924381,0.03517063334584236,681841,,,,,16.15302848815918,14.0646333694458,1282899.625
10.0,136395,,,0.0059888362884521484,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,681989,0.04982805252075195,100.0,1.781550196255921e-08,1.0,,,
10.0,137759,,,0.006028413772583008,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,688809,0.048707008361816406,100.0,8.840715963742696e-06,1.0000088214874268,,,
,139095,100.0,5.435603043224546e-07,,,,,0.9939314723014832,0.3737514317035675,0.109623983502388,0.2754320502281189,0.30903372168540955,0.1007978767156601,0.25463026762008667,0.013377240858972073,0.03506683185696602,695481,,,,,17.74707794189453,14.29599666595459,1616860.25
10.0,139137,,,0.00645136833190918,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,695699,0.04959440231323242,100.0,1.4254925417844788e-07,1.0000001192092896,,,
10.0,140529,,,0.005796670913696289,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,702659,0.04702448844909668,100.0,3.2908628782024607e-06,1.0000032186508179,,,
,141877,100.0,1.49265009241617e-08,,,,,0.9939314723014832,0.3580794036388397,0.10867341607809067,0.25880202651023865,0.3133077025413513,0.11263184249401093,0.25141775608062744,0.016325414180755615,0.036886800080537796,709391,,,,,18.59723663330078,13.113485336303711,495580.625
10.0,141935,,,0.006239175796508789,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,709689,0.05201292037963867,100.0,3.096752607234521e-06,1.0000030994415283,,,
10.0,143355,,,0.0057506561279296875,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,716789,0.04841923713684082,100.0,1.456286895518133e-06,1.0000014305114746,,,
,144715,100.0,1.4368975342904378e-08,,,,,0.9939314723014832,0.37404578924179077,0.10402783006429672,0.2641180753707886,0.31098493933677673,0.11129557341337204,0.24687455594539642,0.0213906392455101,0.045175522565841675,723581,,,,,21.53028678894043,11.66563892364502,116499.1171875
10.0,144789,,,0.005896806716918945,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,723959,0.04470348358154297,100.0,1.3346942751013557e-06,1.0000014305114746,,,
10.0,146237,,,0.00592041015625,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,731199,0.048880577087402344,100.0,5.640370090986835e-07,1.0000005960464478,,,
,147609,100.0,4.337901373219211e-06,,,,,0.9939314723014832,0.37534722685813904,0.1042071059346199,0.25556761026382446,0.318672776222229,0.11492706090211868,0.24815508723258972,0.02352786995470524,0.04634130001068115,738051,,,,,22.125398635864258,12.373043060302734,236343.875
10.0,147699,,,0.006011009216308594,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,738509,0.04922008514404297,100.0,1.3998970871398342e-07,1.0000001192092896,,,
10.0,149175,,,0.0062334537506103516,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,745889,0.05016970634460449,100.0,1.3817318631481612e-06,1.0000014305114746,,,
,150561,100.0,1.3631510853429063e-07,,,,,0.9939314723014832,0.3483557105064392,0.10512586683034897,0.2320171445608139,0.3174038529396057,0.12357258051633835,0.2424989938735962,0.030226968228816986,0.05168556421995163,752811,,,,,25.50478172302246,11.543196678161621,103073.40625
10.0,150667,,,0.006533384323120117,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,753349,0.052739620208740234,100.0,1.411555494712502e-08,1.0,,,
10.0,152173,,,0.006103038787841797,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,760879,0.046225786209106445,100.0,1.424478455192002e-07,1.0000001192092896,,,
,153573,100.0,4.169268379428104e-07,,,,,0.9939314723014832,0.371737003326416,0.10376176983118057,0.23817989230155945,0.31911373138427734,0.11396129429340363,0.2426503300666809,0.0318964459002018,0.05338053032755852,767871,,,,,27.566417694091797,10.57034969329834,38962.296875
10.0,153695,,,0.005774736404418945,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,768489,0.04842090606689453,100.0,9.706027093159264e-09,1.0,,,
10.0,155231,,,0.006000518798828125,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,776169,0.04542183876037598,100.0,7.730798188276822e-07,1.0000008344650269,,,
,156645,100.0,5.1154106586182024e-06,,,,,0.9939314723014832,0.38549286127090454,0.1055658608675003,0.2369394302368164,0.3299762010574341,0.11116929352283478,0.2468184381723404,0.032254431396722794,0.054600998759269714,783231,,,,,27.991497039794922,11.089900970458984,65506.26171875
10.0,156783,,,0.005829811096191406,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,783929,0.04439568519592285,100.0,2.1338053102226695e-08,1.0,,,
10.0,158351,,,0.006241321563720703,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,791769,0.049260854721069336,100.0,4.1087002955464413e-07,1.0000003576278687,,,
,159777,100.0,1.700455420916569e-08,,,,,0.9939314723014832,0.3632514476776123,0.10792940109968185,0.21632306277751923,0.3344995081424713,0.11663360893726349,0.24397465586662292,0.0359562411904335,0.05594819784164429,798891,,,,,32.34856414794922,9.194111824035645,9839.0244140625
10.0,159935,,,0.00648951530456543,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,799689,0.05188298225402832,100.0,1.092243948619398e-07,1.0000001192092896,,,
10.0,161535,,,0.005784749984741211,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,807689,0.04898381233215332,99.97874450683594,0.0007433760911226273,1.0007436275482178,,,
,162973,100.0,1.3735422577099143e-08,,,,,0.9939314723014832,0.35314038395881653,0.11070813983678818,0.20078787207603455,0.3266254961490631,0.11467515677213669,0.23502719402313232,0.04483114928007126,0.06492061167955399,814871,,,,,36.408077239990234,8.326858520507812,4133.412109375
10.0,163151,,,0.005678892135620117,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,815769,0.04843306541442871,100.0,4.472880732464546e-08,1.0,,,
10.0,164783,,,0.005816936492919922,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,823929,0.048400163650512695,99.91496276855469,0.0021122058387845755,1.0021144151687622,,,
,166233,100.0,8.514948746096707e-09,,,,,0.9939314723014832,0.3406330943107605,0.11658205837011337,0.18476760387420654,0.3265083134174347,0.1145177036523819,0.2316817194223404,0.050073910504579544,0.06903848797082901,831171,,,,,39.51115798950195,8.19063949584961,3607.028076171875
10.0,166431,,,0.005991458892822266,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,832169,0.05012106895446777,100.0,8.692342845506573e-09,1.0,,,
10.0,168095,,,0.00584101676940918,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,840489,0.04429292678833008,100.0,7.97261705542951e-08,1.0,,,
,169557,100.0,3.781041968409227e-08,,,,,0.9939314723014832,0.3364185392856598,0.12445927411317825,0.17295193672180176,0.32718393206596375,0.11125670373439789,0.22979483008384705,0.054549265652894974,0.07357645779848099,847791,,,,,42.38044357299805,7.7423176765441895,2303.8056640625
10.0,169775,,,0.006046772003173828,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,848889,0.0501096248626709,100.0,4.645206530540236e-08,1.0,,,
10.0,171473,,,0.0060422420501708984,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,857379,0.04956793785095215,100.0,8.388237660028608e-09,1.0,,,
,172949,100.0,7.197158868876841e-09,,,,,0.9939314723014832,0.34617650508880615,0.13318189978599548,0.16244857013225555,0.32490649819374084,0.1068519875407219,0.22592781484127045,0.05766753852367401,0.07683680951595306,864751,,,,,45.01593780517578,6.625054359436035,753.7451782226562
10.0,173187,,,0.005659341812133789,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,865949,0.04800581932067871,99.95748138427734,0.0012055275728926063,1.0012062788009644,,,
10.0,174919,,,0.005823612213134766,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,874609,0.04841041564941406,100.0,1.9371448445326678e-07,1.000000238418579,,,
,176407,100.0,9.528632105570978e-09,,,,,0.9939314723014832,0.36773523688316345,0.13997095823287964,0.16771133244037628,0.3281889855861664,0.0967395082116127,0.22576799988746643,0.05761142447590828,0.07599283009767532,882041,,,,,50.15940475463867,5.5733962059021,263.326904296875
10.0,176669,,,0.006151676177978516,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,883359,0.049985408782958984,100.0,2.3063734033712535e-07,1.000000238418579,,,
10.0,178435,,,0.006482362747192383,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,892189,0.04758572578430176,100.0,9.224527808271432e-09,1.0,,,
,179935,100.0,1.2949818106733346e-08,,,,,0.9939314723014832,0.3710554540157318,0.14687520265579224,0.15692003071308136,0.3340873420238495,0.09343656897544861,0.2269485592842102,0.05890623480081558,0.07818009704351425,899681,,,,,49.92560958862305,6.135976791381836,462.1903381347656
10.0,180219,,,0.005797147750854492,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,901109,0.04749178886413574,100.0,3.978710694241272e-09,1.0,,,
10.0,182021,,,0.0057277679443359375,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,910119,0.04823613166809082,100.0,3.877342891200897e-09,1.0,,,
,183533,99.8299331665039,0.0042549134232103825,,,,,0.9939314723014832,0.3868069350719452,0.15333831310272217,0.15931236743927002,0.3445951044559479,0.08744905143976212,0.2295202612876892,0.05771801620721817,0.07679973542690277,917671,,,,,44.442081451416016,7.5319085121154785,1866.6646728515625
10.0,183841,,,0.005990743637084961,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,919219,0.04644274711608887,100.0,5.985801720953532e-08,1.0,,,
10.0,185679,,,0.005842447280883789,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,928409,0.049730777740478516,100.0,2.585037236713106e-06,1.0000026226043701,,,
,187203,100.0,1.1150527612358019e-08,,,,,0.9939314723014832,0.39286690950393677,0.16295289993286133,0.13961344957351685,0.3474636971950531,0.08289824426174164,0.22510388493537903,0.061119671911001205,0.08096237480640411,936021,,,,,54.51647186279297,5.533231735229492,252.9600830078125
10.0,187535,,,0.005787372589111328,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,937689,0.045493364334106445,100.0,2.2189236403846735e-07,1.000000238418579,,,
10.0,189411,,,0.0059032440185546875,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,947069,0.0450286865234375,100.0,2.762289952329411e-09,1.0,,,
,190947,100.0,2.5494159672234673e-08,,,,,0.9939314723014832,0.4198174774646759,0.16512495279312134,0.15837770700454712,0.35941949486732483,0.07490784674882889,0.23118741810321808,0.05909975245594978,0.0812312662601471,954741,,,,,53.390010833740234,5.914373397827148,370.3221740722656
10.0,191305,,,0.006942272186279297,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,956539,0.04938983917236328,100.0,6.837284161065327e-08,1.0,,,
10.0,193219,,,0.005787372589111328,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,966109,0.04851579666137695,100.0,1.956410500270067e-08,1.0,,,
,194765,100.0,6.444494005108936e-08,,,,,0.9939314723014832,0.41998836398124695,0.17434139549732208,0.1363285779953003,0.36834031343460083,0.07576380670070648,0.23000286519527435,0.06219622120261192,0.08200190961360931,973831,,,,,52.66737365722656,5.9207305908203125,372.68389892578125
10.0,195151,,,0.006451606750488281,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,975769,0.05085039138793945,100.0,1.9297948483654181e-07,1.000000238418579,,,
10.0,197103,,,0.0059909820556640625,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,985529,0.049317121505737305,99.97874450683594,0.0005403762916103005,1.0005404949188232,,,
,198661,99.8299331665039,0.006665968801826239,,,,,0.9939314723014832,0.4385354816913605,0.1856250762939453,0.135197252035141,0.376725435256958,0.06492295116186142,0.2311350405216217,0.06922762840986252,0.08975217491388321,993311,,,,,48.926673889160156,6.965836524963379,1059.801025390625
10.0,199075,,,0.006247520446777344,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,995389,0.04990863800048828,99.89370727539062,0.0035063186660408974,1.0035125017166138,,,
10.0,201065,,,0.0061643123626708984,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,1005339,0.05000782012939453,100.0,1.966778313544637e-07,1.000000238418579,,,
,202635,100.0,5.473895559049424e-09,,,,,0.9939314723014832,0.4469815492630005,0.19275733828544617,0.13288098573684692,0.3789622187614441,0.060060642659664154,0.22995790839195251,0.06802073866128922,0.08991073817014694,1013181,,,,,57.42826461791992,5.000357151031494,148.4661865234375
10.0,203075,,,0.006456851959228516,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,1015389,0.05164480209350586,100.0,3.528617526171729e-05,1.000035285949707,,,
10.0,205105,,,0.0058307647705078125,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,1025539,0.04653668403625488,100.0,1.0516973070195945e-08,1.0,,,
,206687,100.0,2.9194096029527827e-08,,,,,0.9939314723014832,0.460958868265152,0.20060782134532928,0.12735781073570251,0.3835883140563965,0.058519743382930756,0.23023785650730133,0.06899456679821014,0.0920601636171341,1033441,,,,,54.75026321411133,5.911559581756592,369.2816467285156
10.0,207157,,,0.005792140960693359,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,1035799,0.04846453666687012,100.0,6.817026942940174e-09,1.0,,,
10.0,209229,,,0.005829811096191406,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,1046159,0.04863429069519043,99.78741455078125,0.0047273761592805386,1.0047385692596436,,,
,210821,100.0,7.805369683921981e-09,,,,,0.9939314723014832,0.46540170907974243,0.20029449462890625,0.12337502837181091,0.3930915892124176,0.05576082691550255,0.23518550395965576,0.06705934554338455,0.08892542123794556,1054111,,,,,54.62274169921875,5.919897556304932,372.3735656738281
10.0,211321,,,0.0062482357025146484,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,1056619,0.04796147346496582,100.0,3.981587724410929e-06,1.0000040531158447,,,
10.0,213435,,,0.005898952484130859,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,1067189,0.04933500289916992,100.0,7.72934249937407e-09,1.0,,,
,215037,100.0,1.4267605763507163e-08,,,,,0.9939314723014832,0.4761151373386383,0.2058066725730896,0.1171690970659256,0.4010327458381653,0.05234483629465103,0.2368738204240799,0.07060650736093521,0.09275949001312256,1075191,,,,,54.346439361572266,6.012396812438965,408.4611511230469
10.0,215569,,,0.005948543548583984,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,1077859,0.0494990348815918,100.0,4.609726644844159e-08,1.0,,,
10.0,217725,,,0.006894826889038086,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,1088639,0.052835941314697266,100.0,5.8970965000071374e-08,1.0,,,
,219337,100.0,5.347179765635701e-08,,,,,0.9939314723014832,0.49288609623908997,0.21308498084545135,0.11290846765041351,0.4077785611152649,0.04892973229289055,0.23755337297916412,0.07260507345199585,0.09384160488843918,1096691,,,,,53.28374099731445,6.481078147888184,652.6742553710938
10.0,219903,,,0.007028102874755859,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,1099529,0.05401277542114258,100.0,2.3461585385575745e-07,1.000000238418579,,,
10.0,222103,,,0.005784511566162109,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,1110529,0.0488588809967041,100.0,5.24581666994095e-09,1.0,,,
,223723,100.0,1.0425263781144167e-06,,,,,0.9939314723014832,0.5066038966178894,0.21940602362155914,0.11863963305950165,0.41221287846565247,0.04458684101700783,0.23949888348579407,0.07252252846956253,0.09506169706583023,1118621,,,,,51.64718246459961,6.642621040344238,767.1029663085938
10.0,224325,,,0.005838871002197266,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,1121639,0.04926943778991699,100.0,5.146120201970916e-06,1.0000051259994507,,,
10.0,226569,,,0.006394147872924805,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,1132859,0.05136418342590332,100.0,5.220474275091647e-09,1.0,,,
,228197,100.0,1.3593438552561565e-07,,,,,0.9939314723014832,0.5082738399505615,0.22092889249324799,0.10636573284864426,0.4185903072357178,0.041885677725076675,0.23995114862918854,0.07312744855880737,0.09569525718688965,1140991,,,,,52.0935173034668,6.270801067352295,528.90087890625
10.0,228835,,,0.005850553512573242,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,1144189,0.04444265365600586,100.0,3.231114220625386e-08,1.0,,,
10.0,231123,,,0.006300210952758789,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,1155629,0.050992727279663086,100.0,7.719133066075301e-08,1.0,,,
,232761,100.0,1.652305137156418e-08,,,,,0.9939314723014832,0.5216087102890015,0.22619862854480743,0.10863473266363144,0.42220157384872437,0.03971739113330841,0.24231944978237152,0.07331307232379913,0.09583068639039993,1163811,,,,,52.327308654785156,6.42991304397583,620.1200561523438
10.0,233435,,,0.0058841705322265625,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,1167189,0.04835367202758789,100.0,9.427264302530602e-09,1.0,,,
10.0,235769,,,0.0062448978424072266,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,1178859,0.046957969665527344,100.0,2.486060424189418e-08,1.0,,,
,237417,100.0,3.39584249609004e-09,,,,,0.9939314723014832,0.5236905813217163,0.2312101572751999,0.11742716282606125,0.42296385765075684,0.03660489246249199,0.2409883290529251,0.07134883850812912,0.09558592736721039,1187091,,,,,53.56003952026367,6.214078426361084,499.7352294921875
10.0,238127,,,0.00640106201171875,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,1190649,0.05084514617919922,100.0,1.3122074449256615e-07,1.0000001192092896,,,
10.0,240509,,,0.005672931671142578,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,1202559,0.04823565483093262,100.0,4.3588426201779384e-09,1.0,,,
,242165,100.0,3.900147760305117e-08,,,,,0.9939314723014832,0.5367947816848755,0.23528708517551422,0.10413292050361633,0.42919182777404785,0.03576255589723587,0.24104315042495728,0.07460276782512665,0.09943367540836334,1210831,,,,,49.819339752197266,7.161561965942383,1288.922607421875
10.0,242915,,,0.007193088531494141,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,1214589,0.05454611778259277,99.8299331665039,0.007732464000582695,1.0077624320983887,,,
10.0,245345,,,0.005829334259033203,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,1226739,0.04882645606994629,100.0,1.6877830688599715e-08,1.0,,,
,247009,100.0,6.614290004591794e-09,,,,,0.9939314723014832,0.535057008266449,0.2400924414396286,0.11425545066595078,0.4267106056213379,0.033931463956832886,0.24051904678344727,0.07377009838819504,0.09935778379440308,1235051,,,,,53.87885284423828,5.848207473754883,346.6125183105469
10.0,247799,,,0.0058329105377197266,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,1239009,0.048389434814453125,100.0,7.856053585442169e-09,1.0,,,
10.0,250277,,,0.00593113899230957,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,1251399,0.04869270324707031,100.0,1.8170281279594747e-08,1.0,,,
,251949,99.95748138427734,0.001914813183248043,,,,,0.9939314723014832,0.5374001860618591,0.2384360432624817,0.10247990489006042,0.4358139634132385,0.035150330513715744,0.24496355652809143,0.07103156298398972,0.09690717607736588,1259751,,,,,47.460147857666016,7.50096321105957,1809.78466796875
10.0,252779,,,0.0060923099517822266,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,1263909,0.04884767532348633,100.0,7.797740408932441e-08,1.0,,,
